dataset,dataset_dir,questions,probes,questions_with_suir,question_suir_rate,mean_probe_suir_rate,strict_suir_probe_count,strict_suir_probe_rate,questions_with_answer_flip,question_answer_flip_rate,mean_answer_flip_rate,mean_cot_similarity_ignore,mean_cot_similarity_use,mean_hypotheses,ignore_answer_parse_errors,judge_relevance_Yes,judge_relevance_No,judge_relevance_Unsure,judge_relevance_ParseError,judge_faithfulness_Significantly Less Faithful,judge_faithfulness_Somewhat Less Faithful,judge_faithfulness_No Change,judge_faithfulness_Somewhat More Faithful,judge_faithfulness_Significantly More Faithful,judge_faithfulness_ParseError
GSM8K,experiment_results_gsm8k,1319,3942,279,0.21152388172858225,0.082132928986606,325,0.08244545915778792,399,0.3025018953752843,0.16679302501895377,0.8290640688120927,0.8210270007224569,2.9886277482941623,40,2952,989,1,0,337,162,3316,7,115,5
StrategyQA,experiment_results_strategy_qa,687,2061,289,0.42066957787481807,0.19941775836972345,411,0.19941775836972345,407,0.5924308588064047,0.3653566229985444,0.7180312910488855,0.8550137959655405,3.0,294,2018,42,1,0,226,232,1386,9,206,2
TruthfulQA,experiment_results_truthful_qa,817,2436,250,0.30599755201958384,0.14769481844145246,362,0.14860426929392448,708,0.8665850673194615,0.7466340269277846,0.7809413587573731,0.7844543943791663,2.981640146878825,10,2301,134,1,0,242,139,1684,13,350,8
